discrete_classification,discrete_classification-proba,bare-coverfraction,urban-coverfraction,crops-coverfraction,grass-coverfraction,moss-coverfraction,water-permanent-coverfraction,water-seasonal-coverfraction,shrub-coverfraction,snow-coverfraction,tree-coverfraction,forest_type,data-density-indicator,system:index,name
200,,,,,,,,,,,,,,50,node50
200,,,,,,,,,,,,,,51,node51
112,97,0,0,0,6,0,0,0,0,0,94,2,70,52,node52
112,87,0,0,0,16,0,0,0,0,0,84,2,79,53,node53
40,98,0,0,100,0,0,0,32,0,0,0,,72,54,node54
40,100,0,0,97,0,0,0,0,0,0,3,0,79,55,node55
200,,,,,,,,,,,,,,56,node56
200,,,,,,,,,,,,,,57,node57
112,60,0,0,0,16,0,0,0,11,0,73,2,75,58,node58
50,,0,66,2,9,0,0,0,0,0,23,0,81,59,node59
40,96,0,0,100,0,0,0,0,0,0,0,,81,60,node60
112,89,0,0,0,11,0,0,0,0,0,89,2,69,61,node61
40,97,0,0,100,0,0,0,21,0,0,0,,81,62,node62
200,,,,,,,,,,,,,,63,node63
40,90,0,0,100,0,0,0,100,0,0,0,,80,64,node64
40,92,0,6,94,0,0,0,40,0,0,0,,81,65,node65
40,96,0,0,97,0,0,0,9,0,0,3,0,81,66,node66
40,94,0,0,100,0,0,0,0,0,0,0,,82,67,node67
112,83,0,0,0,0,0,0,0,0,0,100,2,70,68,node68
200,,,,,,,,,,,,,,69,node69
40,97,0,0,100,0,0,0,0,0,0,0,,82,70,node70
112,80,0,0,0,5,0,0,0,11,0,84,2,79,71,node71
40,77,1,38,56,5,0,0,0,0,0,0,,72,72,node72
200,,,,,,,,,,,,,,73,node73
122,38,0,0,35,19,0,0,0,8,0,38,2,76,74,node74
40,87,0,0,100,0,0,0,0,0,0,0,,82,75,node75
40,91,0,0,100,0,0,0,0,0,0,0,,81,76,node76
40,93,0,0,95,0,0,0,0,5,0,0,,81,77,node77
40,85,0,1,83,0,0,0,0,6,0,10,0,81,78,node78
112,99,0,0,0,10,0,0,0,0,0,90,2,70,79,node79
40,100,0,2,96,0,0,0,0,1,0,1,0,79,80,node80
40,91,0,0,95,0,0,0,28,0,0,5,0,81,81,node81
40,94,0,57,43,0,0,0,14,0,0,0,,81,82,node82
200,,,,,,,,,,,,,,83,node83
40,92,0,0,94,0,0,0,43,0,0,6,0,79,84,node84
200,,,,,,,,,,,,,,85,node85
200,,,,,,,,,,,,,,86,node86
40,43,0,32,31,12,0,0,0,7,0,18,0,77,87,node87
112,68,0,0,0,7,0,0,0,13,0,80,2,71,88,node88
40,46,0,55,25,6,0,0,0,12,0,2,0,82,89,node89
112,98,0,0,0,9,0,0,0,0,0,91,2,78,90,node90
40,85,0,0,82,0,0,0,36,10,0,8,0,77,91,node91
50,,0,97,0,2,0,0,0,0,0,1,0,81,92,node92
200,,,,,,,,,,,,,,93,node93
50,,0,100,0,0,0,0,0,0,0,0,,81,94,node94
50,,0,87,13,0,0,0,0,0,0,0,,81,95,node95
40,99,0,0,100,0,0,0,0,0,0,0,,81,96,node96
112,98,0,0,0,8,0,0,0,2,0,90,2,71,97,node97
200,,,,,,,,,,,,,,98,node98
200,,,,,,,,,,,,,,99,node99
112,98,0,0,0,10,0,0,0,8,0,82,2,77,100,node100
50,,0,92,5,3,0,0,0,0,0,0,,77,101,node101
122,49,0,15,5,23,0,0,0,10,0,47,2,77,102,node102
50,,0,62,38,0,0,0,0,0,0,0,,78,103,node103
112,99,0,0,0,0,0,0,0,0,0,100,2,62,104,node104
40,94,0,0,100,0,0,0,20,0,0,0,,82,105,node105
40,94,0,24,75,1,0,0,0,0,0,0,,80,106,node106
40,84,0,0,92,0,0,0,0,0,0,8,0,81,107,node107
112,99,0,0,0,11,0,0,0,5,0,84,2,78,108,node108
40,88,0,0,83,2,0,0,0,3,0,12,0,80,109,node109
200,,,,,,,,,,,,,,110,node110
200,,,,,,,,,,,,,,111,node111
200,,,,,,,,,,,,,,112,node112
40,68,0,32,45,15,0,0,0,4,0,4,0,76,113,node113
122,44,0,0,0,26,0,0,0,13,0,61,2,79,114,node114
112,97,0,0,0,0,0,0,0,0,0,100,2,69,115,node115
50,,0,100,0,0,0,0,0,0,0,0,,80,116,node116
112,87,0,0,0,14,0,0,0,0,0,86,2,69,117,node117
50,,0,100,0,0,0,0,0,0,0,0,,81,118,node118
200,,,,,,,,,,,,,,119,node119
40,49,0,0,49,15,0,0,0,10,0,26,0,79,120,node120
40,84,0,0,96,0,0,0,11,0,0,4,0,77,121,node121
112,75,0,14,0,16,0,0,0,0,0,70,2,71,122,node122
50,,0,98,0,0,0,0,0,0,0,2,0,79,123,node123
200,,,,,,,,,,,,,,124,node124
112,87,0,0,0,0,0,0,0,0,0,100,2,85,125,node125
40,92,0,0,95,0,0,0,0,0,0,5,0,78,126,node126
112,97,0,0,0,7,0,0,0,0,0,93,2,69,127,node127
40,92,0,3,93,0,0,0,0,0,0,4,0,78,128,node128
112,55,0,0,0,22,0,0,0,10,0,68,2,74,129,node129
200,,,,,,,,,,,,,,130,node130
40,86,0,0,89,0,0,0,51,10,0,1,0,86,131,node131
112,49,0,0,0,16,0,0,0,7,0,77,2,76,132,node132
122,40,0,5,0,27,0,0,0,18,0,50,2,75,133,node133
40,90,0,0,86,0,0,0,3,0,0,14,0,81,134,node134
40,96,0,0,97,0,0,0,0,0,0,3,0,81,135,node135
200,,,,,,,,,,,,,,136,node136
200,,,,,,,,,,,,,,137,node137
126,30,5,0,21,21,0,0,0,17,0,36,0,75,138,node138
40,60,0,0,75,0,0,0,0,0,0,25,0,78,139,node139
40,96,0,45,55,0,0,0,0,0,0,0,,77,140,node140
50,,0,92,8,0,0,0,0,0,0,0,,82,141,node141
112,99,0,0,0,0,0,0,0,0,0,100,2,80,142,node142
40,39,3,0,47,19,0,0,0,12,0,19,0,79,143,node143
200,,,,,,,,,,,,,,144,node144
112,60,0,0,0,14,0,0,0,6,0,80,2,80,145,node145
200,,,,,,,,,,,,,,146,node146
50,,0,89,11,0,0,0,0,0,0,0,,80,147,node147
40,97,0,18,82,0,0,0,0,0,0,0,,77,148,node148
40,88,0,0,89,0,0,0,20,2,0,9,0,82,149,node149
112,99,0,0,0,2,0,0,0,0,0,98,2,77,150,node150
200,,,,,,,,,,,,,,151,node151
40,96,0,0,85,0,0,0,75,14,0,1,0,82,152,node152
126,44,0,4,28,20,0,0,0,14,0,34,0,80,153,node153
122,60,4,0,12,26,0,0,0,12,0,46,2,75,154,node154
40,35,0,0,40,15,0,0,0,13,0,32,0,74,155,node155
40,98,0,0,98,0,0,0,0,0,0,2,0,81,156,node156
200,,,,,,,,,,,,,,157,node157
112,58,2,0,0,24,0,22,0,0,0,52,2,69,158,node158
50,,0,85,0,2,0,0,0,0,0,13,0,81,159,node159
50,,0,100,0,0,0,0,0,0,0,0,,80,160,node160
112,77,0,0,0,19,0,0,0,0,0,81,2,81,161,node161
40,90,0,10,89,0,0,0,6,0,0,1,0,78,162,node162
50,,0,100,0,0,0,0,0,0,0,0,,80,163,node163
122,51,0,0,0,21,0,0,0,14,0,65,2,79,164,node164
200,,,,,,,,,,,,,,165,node165
200,,,,,,,,,,,,,,166,node166
40,40,0,0,34,14,0,0,0,17,0,35,0,76,167,node167
200,,,,,,,,,,,,,,168,node168
112,99,0,0,0,7,0,0,0,0,0,93,2,75,169,node169
112,98,0,0,0,0,0,0,0,0,0,100,2,70,170,node170
112,81,0,0,0,12,0,0,0,0,0,88,2,61,171,node171
116,58,0,0,0,21,0,0,0,12,0,67,0,76,172,node172
112,98,0,0,0,8,0,0,0,0,0,92,2,78,173,node173
40,88,0,55,45,0,0,0,15,0,0,0,,81,174,node174
112,80,0,0,0,15,0,0,0,0,0,85,2,82,175,node175
40,97,0,46,54,0,0,0,10,0,0,0,,81,176,node176
40,82,0,0,92,0,0,0,100,0,0,8,0,81,177,node177
126,36,0,36,20,17,0,0,0,7,0,20,0,80,178,node178
50,,0,86,14,0,0,0,6,0,0,0,,82,179,node179
50,,0,80,2,9,0,0,0,1,0,8,0,75,180,node180
50,,0,76,7,9,0,0,0,0,0,8,0,71,181,node181
50,,0,100,0,0,0,0,3,0,0,0,,83,182,node182
40,80,0,0,84,0,0,0,0,0,0,16,0,80,183,node183
40,98,0,0,96,0,0,0,0,0,0,4,0,75,184,node184
200,,,,,,,,,,,,,,185,node185
200,,,,,,,,,,,,,,186,node186
200,,,,,,,,,,,,,,187,node187
112,45,0,0,0,22,0,0,0,10,0,68,2,79,188,node188
40,96,0,0,96,0,0,0,95,0,0,4,0,78,189,node189
200,,,,,,,,,,,,,,190,node190
122,51,2,0,14,25,0,0,0,13,0,46,2,75,191,node191
112,56,5,0,5,17,0,0,0,11,0,62,2,79,192,node192
200,,,,,,,,,,,,,,193,node193
200,,,,,,,,,,,,,,194,node194
112,70,0,0,0,18,0,0,0,0,0,82,2,81,195,node195
50,,0,100,0,0,0,0,0,0,0,0,,82,196,node196
112,91,0,0,0,10,0,0,0,0,0,90,2,71,197,node197
40,38,2,0,33,22,0,0,0,20,0,23,0,79,198,node198
200,,,,,,,,,,,,,,199,node199
112,92,0,0,0,16,0,0,0,0,0,84,2,76,200,node200
112,88,0,0,0,12,0,0,0,0,0,88,2,82,201,node201
200,,,,,,,,,,,,,,202,node202
200,,,,,,,,,,,,,,203,node203
50,,0,90,1,9,0,0,0,0,0,0,,75,204,node204
200,,,,,,,,,,,,,,205,node205
200,,,,,,,,,,,,,,206,node206
112,76,0,0,0,25,0,0,0,0,0,75,2,69,207,node207
112,91,0,0,0,19,0,0,0,0,0,81,2,79,208,node208
40,96,0,0,100,0,0,0,0,0,0,0,,81,209,node209
40,86,0,0,100,0,0,0,56,0,0,0,,80,210,node210
40,81,0,11,84,0,0,0,0,1,0,4,0,76,211,node211
40,100,0,0,100,0,0,0,0,0,0,0,,78,212,node212
200,,,,,,,,,,,,,,213,node213
200,,,,,,,,,,,,,,214,node214
200,,,,,,,,,,,,,,215,node215
40,92,0,0,93,0,0,0,0,3,0,4,0,72,216,node216
200,,,,,,,,,,,,,,217,node217
200,,,,,,,,,,,,,,218,node218
200,,,,,,,,,,,,,,219,node219
112,98,0,0,0,12,0,0,0,4,0,84,2,80,220,node220
112,90,0,0,0,16,0,0,0,11,0,73,2,79,221,node221
40,96,0,0,96,0,0,0,74,0,0,4,0,82,222,node222
200,,,,,,,,,,,,,,223,node223
40,91,0,0,84,0,0,0,0,12,0,4,0,82,224,node224
40,93,0,0,93,0,0,0,73,0,0,7,0,78,225,node225
112,99,0,0,0,7,0,0,0,0,0,93,2,79,226,node226
40,73,0,0,88,0,0,0,0,0,0,12,0,82,227,node227
116,21,4,0,11,16,0,56,0,1,0,12,0,74,228,node228
40,84,0,0,88,0,0,0,76,0,0,12,0,78,229,node229
112,77,0,0,0,16,0,0,0,0,0,84,2,80,230,node230
112,80,0,0,0,17,0,0,0,0,0,83,2,81,231,node231
126,35,0,34,27,18,0,0,0,12,0,9,0,75,232,node232
40,89,0,7,92,0,0,0,55,0,0,1,0,81,233,node233
200,,,,,,,,,,,,,,234,node234
200,,,,,,,,,,,,,,235,node235
200,,,,,,,,,,,,,,236,node236
200,,,,,,,,,,,,,,237,node237
126,22,12,0,0,26,0,36,10,0,0,26,0,82,238,node238
200,,,,,,,,,,,,,,239,node239
40,42,0,10,32,17,0,0,0,12,0,29,0,75,240,node240
122,49,2,0,24,17,0,0,0,13,0,44,2,75,241,node241
200,,,,,,,,,,,,,,242,node242
200,,,,,,,,,,,,,,243,node243
50,,0,98,2,0,0,0,0,0,0,0,,80,244,node244
50,,0,100,0,0,0,0,0,0,0,0,,76,245,node245
112,84,0,0,0,20,0,0,0,0,0,80,2,78,246,node246
200,,,,,,,,,,,,,,247,node247
200,,,,,,,,,,,,,,248,node248
40,96,0,12,88,0,0,0,0,0,0,0,,78,249,node249
40,61,1,9,60,13,0,0,0,7,0,10,0,75,250,node250
40,95,0,0,100,0,0,0,21,0,0,0,,81,251,node251
200,,,,,,,,,,,,,,252,node252
112,56,0,0,0,14,0,0,0,10,0,76,2,80,253,node253
200,,,,,,,,,,,,,,254,node254
40,77,1,5,83,4,0,0,0,2,0,5,0,76,255,node255
40,97,0,0,98,0,0,0,0,0,0,2,0,76,256,node256
112,71,0,0,0,12,0,0,0,0,0,88,2,75,257,node257
40,96,0,2,82,6,0,0,0,2,0,8,0,70,258,node258
50,,0,100,0,0,0,0,0,0,0,0,,76,259,node259
40,99,0,0,94,0,0,0,0,2,0,4,0,74,260,node260
112,98,0,0,0,0,0,0,0,0,0,100,2,75,261,node261
40,32,3,10,22,19,0,0,0,12,0,34,0,71,262,node262
112,98,0,0,0,0,0,0,0,0,0,100,2,70,263,node263
200,,,,,,,,,,,,,,264,node264
40,90,0,0,100,0,0,0,0,0,0,0,,81,265,node265
40,83,0,0,92,0,0,0,0,0,0,8,0,81,266,node266
50,,0,100,0,0,0,0,0,0,0,0,,76,267,node267
40,84,0,52,48,0,0,0,0,0,0,0,,82,268,node268
112,87,0,0,0,20,0,0,0,0,0,80,2,74,269,node269
40,80,0,0,90,0,0,0,0,0,0,10,0,81,270,node270
40,77,0,0,77,0,0,0,69,10,0,13,0,80,271,node271
200,,,,,,,,,,,,,,272,node272
50,,0,60,5,9,0,0,0,7,0,19,2,75,273,node273
40,79,0,0,89,0,0,0,86,1,0,10,0,82,274,node274
112,64,0,0,0,11,0,0,0,10,0,79,2,77,275,node275
40,94,0,0,100,0,0,0,25,0,0,0,,77,276,node276
200,,,,,,,,,,,,,,277,node277
112,59,0,0,0,14,0,0,0,11,0,75,2,75,278,node278
200,,,,,,,,,,,,,,279,node279
40,90,0,0,89,0,0,0,0,0,0,11,0,82,280,node280
50,,0,64,30,4,0,0,0,2,0,0,,80,281,node281
50,,0,100,0,0,0,0,0,0,0,0,,82,282,node282
40,90,0,0,93,0,0,0,0,0,0,7,0,78,283,node283
200,,,,,,,,,,,,,,284,node284
40,96,0,0,98,0,0,0,28,2,0,0,,81,285,node285
200,,,,,,,,,,,,,,286,node286
200,,,,,,,,,,,,,,287,node287
40,96,0,0,96,0,0,0,12,1,0,3,0,82,288,node288
112,70,0,0,0,13,0,0,0,16,0,71,2,70,289,node289
40,100,0,0,96,0,0,0,0,2,0,2,0,76,290,node290
112,97,0,0,0,10,0,0,0,0,0,90,2,75,291,node291
50,,0,60,40,0,0,0,27,0,0,0,,81,292,node292
40,100,0,0,99,0,0,0,0,1,0,0,,71,293,node293
112,87,0,0,0,14,0,0,0,0,0,86,2,76,294,node294
200,,,,,,,,,,,,,,295,node295
112,87,0,0,0,15,0,0,0,0,0,85,2,76,296,node296
40,65,0,0,70,10,0,0,0,7,0,13,0,71,297,node297
80,,0,0,0,0,0,100,0,0,0,0,,73,298,node298
112,99,0,0,0,6,0,0,0,0,0,94,2,77,299,node299
40,99,0,0,95,0,0,0,0,4,0,1,0,75,300,node300
126,41,0,49,6,18,0,0,0,5,0,22,0,74,301,node301
50,,0,90,10,0,0,0,0,0,0,0,,77,302,node302
200,,,,,,,,,,,,,,303,node303
112,44,0,0,4,23,0,0,0,14,0,59,2,75,304,node304
40,97,0,0,91,0,0,0,53,0,0,9,0,81,305,node305
200,,,,,,,,,,,,,,306,node306
112,72,0,0,0,19,0,0,0,0,0,81,2,77,307,node307
112,87,0,0,0,16,0,0,0,0,0,84,2,80,308,node308
40,83,0,0,94,0,0,0,0,6,0,0,,81,309,node309
40,90,0,0,84,0,0,0,9,1,0,15,0,83,310,node310
40,85,0,0,84,0,0,0,71,8,0,8,0,82,311,node311
40,73,0,0,76,0,0,0,0,7,0,17,0,78,312,node312
122,42,4,0,10,25,0,0,0,14,0,47,2,78,313,node313
40,92,0,2,88,0,0,0,9,0,0,10,0,82,314,node314
50,,0,68,32,0,0,0,0,0,0,0,,83,315,node315
40,89,0,0,92,0,0,0,0,3,0,5,0,79,316,node316
40,58,0,0,54,13,0,0,0,8,0,25,0,79,317,node317
200,,,,,,,,,,,,,,318,node318
200,,,,,,,,,,,,,,319,node319
126,38,3,0,7,20,0,0,0,23,0,47,0,71,320,node320
50,,0,100,0,0,0,0,0,0,0,0,,78,321,node321
40,39,2,0,48,17,0,0,0,13,0,20,0,76,322,node322
112,89,0,0,0,14,0,0,0,0,0,86,2,70,323,node323
200,,,,,,,,,,,,,,324,node324
200,,,,,,,,,,,,,,325,node325
200,,,,,,,,,,,,,,326,node326
50,,0,83,17,0,0,0,0,0,0,0,,81,327,node327
122,34,3,0,30,29,0,0,0,9,0,29,2,76,328,node328
112,66,0,0,0,34,0,18,0,0,0,48,2,70,329,node329
40,87,0,0,93,0,0,0,0,0,0,7,0,81,330,node330
112,99,0,0,0,7,0,0,0,0,0,93,2,74,331,node331
200,,,,,,,,,,,,,,332,node332
200,,,,,,,,,,,,,,333,node333
200,,,,,,,,,,,,,,334,node334
40,61,0,0,75,9,0,0,0,0,0,16,0,80,335,node335
50,,0,96,0,0,0,0,0,0,0,4,0,81,336,node336
200,,,,,,,,,,,,,,337,node337
200,,,,,,,,,,,,,,338,node338
112,97,0,0,0,9,0,0,0,7,0,84,2,79,339,node339
112,47,0,0,0,17,0,0,0,15,0,68,2,81,340,node340
40,97,2,0,90,0,0,0,35,0,0,8,0,83,341,node341
200,,,,,,,,,,,,,,342,node342
80,,0,0,0,0,0,100,0,0,0,0,,86,343,node343
40,26,11,0,28,21,0,0,0,15,0,25,0,76,344,node344
40,97,0,0,100,0,0,0,0,0,0,0,,81,345,node345
200,,,,,,,,,,,,,,346,node346
112,47,0,0,0,23,0,0,0,13,0,64,2,75,347,node347
50,,0,71,0,11,0,0,0,3,0,15,0,76,348,node348
112,60,6,0,0,31,0,0,0,0,0,63,2,35,349,node349
112,64,0,0,0,17,0,0,0,22,0,61,2,71,350,node350
200,,,,,,,,,,,,,,351,node351
200,,,,,,,,,,,,,,352,node352
200,100,0,0,0,0,0,100,0,0,0,0,,0,353,node353
200,,,,,,,,,,,,,,354,node354
40,39,3,0,41,24,0,0,0,12,0,20,0,72,355,node355
200,,,,,,,,,,,,,,356,node356
112,61,0,0,0,10,0,0,0,12,0,78,2,72,357,node357
40,85,0,0,89,0,0,0,33,5,0,6,0,81,358,node358
50,,0,100,0,0,0,0,0,0,0,0,,78,359,node359
40,56,0,0,40,22,0,0,0,14,0,24,0,79,360,node360
112,99,0,0,0,13,0,0,0,0,0,87,2,75,361,node361
112,96,0,0,0,15,0,0,0,11,0,74,2,70,362,node362
200,,,,,,,,,,,,,,363,node363
200,,,,,,,,,,,,,,364,node364
112,97,0,0,0,5,0,0,0,0,0,95,2,75,365,node365
50,,0,68,32,0,0,0,0,0,0,0,,82,366,node366
50,,0,69,5,7,0,0,0,0,0,19,0,75,367,node367
200,,,,,,,,,,,,,,368,node368
80,,0,0,0,0,0,100,0,0,0,0,,81,369,node369
200,,,,,,,,,,,,,,370,node370
200,,,,,,,,,,,,,,371,node371
116,50,0,0,0,19,0,20,0,9,0,52,0,80,372,node372
40,99,0,11,84,1,0,0,0,2,0,2,0,75,373,node373
80,,0,0,0,6,0,91,0,0,0,3,0,74,374,node374
200,,,,,,,,,,,,,,375,node375
200,,,,,,,,,,,,,,376,node376
200,,,,,,,,,,,,,,377,node377
200,,,,,,,,,,,,,,378,node378
126,32,1,0,0,23,0,40,9,11,0,25,0,81,379,node379
200,,,,,,,,,,,,,,380,node380
112,87,0,0,0,16,0,0,0,0,0,84,2,80,381,node381
40,88,0,0,100,0,0,0,97,0,0,0,,77,382,node382
40,92,0,0,100,0,0,0,0,0,0,0,,78,383,node383
112,99,0,0,0,5,0,0,0,4,0,91,2,79,384,node384
200,,,,,,,,,,,,,,385,node385
200,,,,,,,,,,,,,,386,node386
40,37,4,0,41,18,0,0,0,12,0,25,0,79,387,node387
40,96,0,0,84,0,0,0,9,6,0,10,0,81,388,node388
50,,0,80,16,4,0,0,0,0,0,0,,82,389,node389
40,78,0,0,79,0,0,0,0,0,0,21,0,78,390,node390
40,86,0,0,89,0,0,0,15,0,0,11,0,78,391,node391
40,97,0,0,100,0,0,0,0,0,0,0,,78,392,node392
200,,,,,,,,,,,,,,393,node393
40,79,0,0,92,0,0,0,0,0,0,8,0,80,394,node394
200,,,,,,,,,,,,,,395,node395
200,,,,,,,,,,,,,,396,node396
40,38,3,0,30,16,0,0,0,13,0,38,0,74,397,node397
40,86,0,0,92,0,0,0,0,0,0,8,0,77,398,node398
200,,,,,,,,,,,,,,399,node399
40,97,0,0,100,0,0,0,0,0,0,0,,78,400,node400
40,100,0,0,97,0,0,0,0,1,0,2,0,71,401,node401
40,98,0,0,100,0,0,0,100,0,0,0,,77,402,node402
40,29,7,0,33,23,0,0,0,13,0,24,0,79,403,node403
200,,,,,,,,,,,,,,404,node404
112,100,0,0,0,0,0,0,0,0,0,100,2,45,405,node405
200,,,,,,,,,,,,,,406,node406
200,,,,,,,,,,,,,,407,node407
112,90,0,0,0,12,0,0,0,0,0,88,2,75,408,node408
50,,0,61,39,0,0,0,0,0,0,0,,81,409,node409
126,39,7,0,27,22,0,0,0,7,0,37,0,75,410,node410
112,48,0,0,6,23,0,0,0,15,0,56,2,75,411,node411
50,,0,94,0,6,0,0,0,0,0,0,,75,412,node412
40,96,0,0,84,0,0,0,0,9,0,7,0,77,413,node413
40,99,0,0,99,0,0,0,19,0,0,1,0,78,414,node414
112,88,0,0,0,14,0,0,0,0,0,86,2,72,415,node415
40,42,0,0,38,11,0,0,0,9,0,42,0,80,416,node416
200,,,,,,,,,,,,,,417,node417
50,,0,90,5,2,0,0,0,0,0,3,0,71,418,node418
40,97,0,40,60,0,0,0,0,0,0,0,,83,419,node419
40,90,0,13,82,2,0,0,27,3,0,0,,76,420,node420
126,28,10,0,20,24,0,0,0,14,0,32,0,75,421,node421
200,,,,,,,,,,,,,,422,node422
40,60,1,0,66,14,0,0,0,8,0,11,0,76,423,node423
40,85,0,1,83,0,0,0,0,6,0,10,0,81,424,node424
40,94,0,55,45,0,0,0,48,0,0,0,,83,425,node425
112,100,0,0,0,0,0,0,0,0,0,100,2,70,426,node426
200,,,,,,,,,,,,,,427,node427
40,100,0,0,96,0,0,0,0,1,0,3,0,79,428,node428
200,,,,,,,,,,,,,,429,node429
200,,,,,,,,,,,,,,430,node430
112,97,0,0,0,0,0,0,0,0,0,100,2,68,431,node431
200,,,,,,,,,,,,,,432,node432
40,84,0,0,94,0,0,0,31,0,0,6,0,81,433,node433
112,100,0,0,0,0,0,0,0,0,0,100,2,76,434,node434
112,68,0,0,0,20,0,0,0,13,0,67,2,79,435,node435
40,88,0,40,60,0,0,0,0,0,0,0,,80,436,node436
200,,,,,,,,,,,,,,437,node437
50,,0,91,0,4,0,0,0,0,0,5,0,79,438,node438
40,86,0,0,100,0,0,0,9,0,0,0,,82,439,node439
112,79,0,0,0,17,0,0,0,0,0,83,2,76,440,node440
112,88,0,14,0,11,0,0,0,0,0,75,2,75,441,node441
40,98,0,0,100,0,0,0,0,0,0,0,,81,442,node442
200,,,,,,,,,,,,,,443,node443
112,81,0,0,0,0,0,0,0,0,0,100,2,82,444,node444
40,44,2,0,50,15,0,0,0,10,0,23,0,76,445,node445
40,77,0,0,87,0,0,0,0,0,0,13,0,81,446,node446
40,86,0,0,90,0,0,0,6,3,0,7,0,78,447,node447
40,97,0,0,97,0,0,0,0,0,0,3,0,81,448,node448
200,,,,,,,,,,,,,,449,node449
40,52,0,45,37,4,0,0,0,3,0,11,0,81,450,node450
112,92,0,0,10,20,0,0,0,12,0,58,2,76,451,node451
112,100,0,0,0,0,0,0,0,0,0,100,2,78,452,node452
112,99,0,0,0,5,0,0,0,0,0,95,2,70,453,node453
40,68,0,30,59,5,0,0,0,1,0,5,0,76,454,node454
40,91,0,10,90,0,0,0,1,0,0,0,,81,455,node455
126,51,1,0,13,26,0,0,0,12,0,48,0,71,456,node456
200,,,,,,,,,,,,,,457,node457
112,76,0,0,0,20,0,0,0,0,0,80,2,82,458,node458
50,,0,82,0,2,0,0,0,1,0,15,0,76,459,node459
200,,,,,,,,,,,,,,460,node460
40,78,0,1,83,0,0,0,47,6,0,10,0,82,461,node461
40,32,2,0,28,34,0,0,23,26,0,10,0,86,462,node462
200,,,,,,,,,,,,,,463,node463
50,,0,61,39,0,0,0,0,0,0,0,,82,464,node464
40,74,0,0,83,0,0,0,9,7,0,10,0,79,465,node465
40,96,0,0,100,0,0,0,0,0,0,0,,78,466,node466
126,36,4,6,29,15,0,0,0,16,0,30,0,75,467,node467
112,49,0,0,0,10,0,36,0,7,0,47,2,81,468,node468
